(processing from the rightmost character)
[7666333391/lnool, 3001238914/zcaxf, 6965760367/kbhyk, 3026181122/zojmi, 3434286233/jkifs, 8552558080/lihjl, 4946112429/ijmbz] original
[8552558080/lihjl, 7666333391/lnool, 3026181122/zojmi, 3434286233/jkifs, 3001238914/zcaxf, 6965760367/kbhyk, 4946112429/ijmbz] $d=10$
[3001238914/zcaxf, 3026181122/zojmi, 4946112429/ijmbz, 3434286233/jkifs, 6965760367/kbhyk, 8552558080/lihjl, 7666333391/lnool] $d=9$
[8552558080/lihjl, 3026181122/zojmi, 3434286233/jkifs, 6965760367/kbhyk, 7666333391/lnool, 4946112429/ijmbz, 3001238914/zcaxf] $d=8$
[6965760367/kbhyk, 3026181122/zojmi, 4946112429/ijmbz, 7666333391/lnool, 3434286233/jkifs, 8552558080/lihjl, 3001238914/zcaxf] $d=7$
[4946112429/ijmbz, 7666333391/lnool, 3001238914/zcaxf, 8552558080/lihjl, 6965760367/kbhyk, 3026181122/zojmi, 3434286233/jkifs] $d=6$
[4946112429/ijmbz, 3026181122/zojmi, 3001238914/zcaxf, 3434286233/jkifs, 7666333391/lnool, 8552558080/lihjl, 6965760367/kbhyk] $d=5$
[3001238914/zcaxf, 8552558080/lihjl, 3434286233/jkifs, 6965760367/kbhyk, 4946112429/ijmbz, 3026181122/zojmi, 7666333391/lnool] $d=4$
[3001238914/zcaxf, 3026181122/zojmi, 3434286233/jkifs, 4946112429/ijmbz, 8552558080/lihjl, 6965760367/kbhyk, 7666333391/lnool] $d=3$
[3001238914/zcaxf, 3026181122/zojmi, 3434286233/jkifs, 8552558080/lihjl, 7666333391/lnool, 4946112429/ijmbz, 6965760367/kbhyk] $d=2$
[3001238914/zcaxf, 3026181122/zojmi, 3434286233/jkifs, 4946112429/ijmbz, 6965760367/kbhyk, 7666333391/lnool, 8552558080/lihjl] $d=1$
